"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 19일","28.010","28.267","28.340","27.948","-","-1.14%"
"2021년 05월 18일","28.333","28.325","28.900","28.120","77.21K","0.21%"
"2021년 05월 17일","28.274","27.515","28.435","27.440","86.80K","2.51%"
"2021년 05월 16일","27.582","27.483","27.610","27.455","-","0.79%"
"2021년 05월 14일","27.365","27.190","27.595","26.920","58.61K","1.13%"
"2021년 05월 13일","27.059","27.095","27.330","26.780","63.63K","-0.68%"
"2021년 05월 12일","27.244","27.760","27.830","27.030","77.86K","-1.53%"
"2021년 05월 11일","27.667","27.400","27.780","27.180","62.13K","0.64%"
"2021년 05월 10일","27.492","27.680","28.005","27.320","65.17K","-0.99%"
"2021년 05월 09일","27.767","27.560","27.780","27.560","-","1.06%"
"2021년 05월 07일","27.477","27.450","27.800","27.230","80.78K","0.00%"
"2021년 05월 06일","27.477","26.590","27.585","26.245","90.93K","3.60%"
"2021년 05월 05일","26.522","26.595","26.710","26.165","40.71K","-0.14%"
"2021년 05월 04일","26.558","27.015","27.240","26.160","76.95K","-1.49%"
"2021년 05월 03일","26.960","25.990","27.115","25.850","77.32K","4.02%"
"2021년 05월 02일","25.918","25.980","25.983","25.890","-","0.17%"
"2021년 04월 30일","25.873","26.170","26.275","25.855","55.51K","-0.81%"
"2021년 04월 29일","26.085","26.300","26.580","25.745","81.33K","-0.13%"
"2021년 04월 28일","26.118","26.380","26.380","25.875","56.13K","-1.26%"
"2021년 04월 27일","26.450","26.355","26.560","26.140","46.97K","0.77%"
"2021년 04월 26일","26.247","26.090","26.320","25.935","35.75K","0.97%"
"2021년 04월 25일","25.995","25.992","26.045","25.965","-","-0.46%"
"2021년 04월 23일","26.114","26.240","26.510","25.930","19.01K","-0.40%"
"2021년 04월 22일","26.219","26.700","26.700","26.055","20.47K","-1.45%"
"2021년 04월 21일","26.606","25.900","26.765","25.840","19.15K","2.83%"
"2021년 04월 20일","25.875","25.910","26.175","25.765","15.12K","0.01%"
"2021년 04월 19일","25.873","26.110","26.310","25.715","9.95K","-0.44%"
"2021년 04월 18일","25.988","26.035","26.062","25.973","-","-0.58%"
"2021년 04월 16일","26.140","25.960","26.410","25.835","8.13K","0.55%"
"2021년 04월 15일","25.998","25.495","26.100","25.420","8.45K","1.72%"
"2021년 04월 14일","25.559","25.420","25.610","25.275","13.93K","0.38%"
"2021년 04월 13일","25.462","24.875","25.575","24.725","17.85K","2.25%"
"2021년 04월 12일","24.901","25.325","25.360","24.760","13.27K","-1.60%"
"2021년 04월 11일","25.305","25.315","25.320","25.253","-","-0.21%"
"2021년 04월 09일","25.359","25.575","25.575","25.040","12.86K","-1.01%"
"2021년 04월 08일","25.618","25.245","25.695","25.060","18.85K","1.33%"
"2021년 04월 07일","25.282","25.240","25.355","24.945","6.24K","0.08%"
"2021년 04월 06일","25.263","24.950","25.385","24.845","4.78K","1.80%"
"2021년 04월 05일","24.816","25.075","25.170","24.705","2.43K","-0.92%"
"2021년 04월 04일","25.047","25.003","25.062","24.965","-","0.26%"
"2021년 04월 01일","24.983","24.495","25.075","24.325","63.17K","1.67%"
"2021년 03월 31일","24.572","24.095","24.585","23.785","2.89K","1.63%"
"2021년 03월 30일","24.177","24.745","24.790","23.925","4.31K","-2.55%"
"2021년 03월 29일","24.810","25.135","25.165","24.530","2.75K","-1.08%"
"2021년 03월 28일","25.082","25.133","25.145","25.038","-","-0.28%"
"2021년 03월 26일","25.152","25.165","25.350","24.970","3.07K","0.28%"
"2021년 03월 25일","25.081","25.220","25.285","24.475","4.20K","-0.72%"
"2021년 03월 24일","25.264","25.130","25.415","25.050","2.94K","0.03%"
"2021년 03월 23일","25.257","25.860","25.895","25.085","3.55K","-2.09%"
"2021년 03월 22일","25.795","26.355","26.355","25.485","2.82K","-0.61%"
"2021년 03월 21일","25.953","26.337","26.337","25.933","-","-1.50%"
"2021년 03월 19일","26.348","26.175","26.390","25.980","2.55K","-0.11%"
"2021년 03월 18일","26.378","26.490","26.755","25.905","2.06K","1.12%"
"2021년 03월 17일","26.086","26.050","26.635","25.845","1.60K","0.21%"
"2021년 03월 16일","26.031","26.360","26.435","25.935","2.04K","-1.08%"
"2021년 03월 15일","26.316","26.085","26.400","25.890","1.73K","0.99%"
"2021년 03월 14일","26.058","25.983","26.157","25.977","-","0.48%"
"2021년 03월 12일","25.934","26.205","26.245","25.470","2.40K","-1.08%"
"2021년 03월 11일","26.216","26.310","26.560","25.925","3.45K","0.23%"
"2021년 03월 10일","26.155","26.070","26.340","25.680","2.06K","-0.21%"
"2021년 03월 09일","26.210","25.260","26.240","25.155","3.14K","3.63%"
"2021년 03월 08일","25.293","25.430","25.945","25.015","3.90K","-0.77%"
"2021년 03월 07일","25.490","25.390","25.615","25.390","-","0.68%"
"2021년 03월 05일","25.318","25.320","25.520","24.880","3.39K","-0.69%"
"2021년 03월 04일","25.495","26.245","26.395","25.155","4.91K","-3.49%"
"2021년 03월 03일","26.416","26.880","26.890","25.905","3.39K","-1.82%"
"2021년 03월 02일","26.907","26.590","26.980","25.850","2.43K","0.75%"
"2021년 03월 01일","26.706","26.695","27.185","26.540","2.40K","-0.47%"
"2021년 02월 28일","26.832","26.668","26.840","26.630","-","1.37%"
"2021년 02월 26일","26.470","27.530","27.665","26.250","3.26K","-4.50%"
